madrid_wind_speed,valencia_wind_deg,bilbao_rain_1h,valencia_wind_speed,seville_humidity,madrid_humidity,bilbao_clouds_all,bilbao_wind_speed,seville_clouds_all,bilbao_wind_deg,barcelona_wind_speed,barcelona_wind_deg,madrid_clouds_all,seville_wind_speed,barcelona_rain_1h,seville_pressure,seville_rain_1h,barcelona_pressure,seville_rain_3h,madrid_rain_1h,barcelona_rain_3h,madrid_weather_id,barcelona_weather_id,bilbao_pressure,seville_weather_id,valencia_pressure,seville_temp_max,bilbao_weather_id,valencia_humidity,month_of_year,day_of_month,day_of_week,hour_of_day,load_shortfall_3h
0.6666666667,5,0.0,0.6666666667,74.3333333333,64.0,0.0,1.0,0.0,223.3333333333,6.3333333333,42.6666666667,0.0,3.3333333333,0.0,25,0.0,1036.3333333333,0.0,0.0,0.0,800.0,800.0,1035.0,800.0,1002.6666666667,274.2546666667,800.0,75.6666666667,1,1,3,3,6715.6666666667
0.3333333333,10,0.0,1.6666666667,78.3333333333,64.6666666667,0.0,1.0,0.0,221.0,4.0,139.0,0.0,3.3333333333,0.0,25,0.0,1037.3333333333,0.0,0.0,0.0,800.0,800.0,1035.6666666667,800.0,1004.3333333333,274.945,800.0,71.0,1,1,3,6,4171.6666666667
1.0,9,0.0,1.0,71.3333333333,64.3333333333,0.0,1.0,0.0,214.3333333333,2.0,326.0,0.0,2.6666666667,0.0,25,0.0,1038.0,0.0,0.0,0.0,800.0,800.0,1036.0,800.0,1005.3333333333,278.792,800.0,65.6666666667,1,1,3,9,4274.6666666667
1.0,8,0.0,1.0,65.3333333333,56.3333333333,0.0,1.0,0.0,199.6666666667,2.3333333333,273.0,0.0,4.0,0.0,25,0.0,1037.0,0.0,0.0,0.0,800.0,800.0,1036.0,800.0,1009.0,285.394,800.0,54.0,1,1,3,12,5075.6666666667
1.0,7,0.0,1.0,59.0,57.0,2.0,0.3333333333,0.0,185.0,4.3333333333,260.0,0.0,3.0,0.0,25,0.0,1035.0,0.0,0.0,0.0,800.0,800.0,1035.3333333333,800.0,1012.0514065222798,285.51371875,800.0,58.3333333333,1,1,3,15,6620.6666666667
1.0,7,0.0,1.0,69.6666666667,67.3333333333,12.3333333333,0.6666666667,0.0,191.3333333333,4.6666666667,254.6666666667,0.0,2.6666666667,0.0,25,0.0,1035.6666666667,0.0,0.0,0.0,800.0,800.0,1035.6666666667,800.0,1012.0514065222798,282.07784375,800.6666666667,72.6666666667,1,1,3,18,6842.0
1.0,8,0.0,1.0,83.6666666667,63.3333333333,16.3333333333,1.0,0.0,210.3333333333,3.3333333333,276.0,0.0,2.0,0.0,25,0.0,1038.0,0.0,0.0,0.0,800.0,800.0,1036.0,800.0,1006.0,277.637,800.6666666667,83.3333333333,1,1,3,21,10760.3333333333
1.0,9,0.0,1.0,83.6666666667,64.0,8.6666666667,1.3333333333,0.0,238.6666666667,2.0,310.0,0.0,2.3333333333,0.0,25,0.0,1037.6666666667,0.0,0.0,0.0,800.0,800.0,1036.0,800.0,1005.6666666667,276.4573333333,800.3333333333,82.0,1,2,4,0,10866.0
1.0,9,0.0,1.0,86.0,63.3333333333,5.3333333333,1.0,0.0,258.3333333333,1.6666666667,338.0,0.0,3.0,0.0,25,0.0,1037.3333333333,0.0,0.0,0.0,800.0,800.0,1036.6666666667,800.0,1005.3333333333,276.1516666667,800.0,80.6666666667,1,2,4,3,-1850.3333333333
1.0,9,0.0,1.3333333333,87.0,63.6666666667,15.3333333333,1.0,0.0,255.3333333333,1.0,329.0,0.0,3.0,0.0,25,0.0,1038.3333333333,0.0,0.0,0.0,800.0,800.0,1037.0,800.0,1006.3333333333,276.453,801.0,75.3333333333,1,2,4,6,-4002.3333333333
1.0,9,0.0,1.6666666667,83.0,67.0,21.3333333333,1.0,0.0,237.3333333333,1.3333333333,299.0,0.0,3.0,0.0,25,0.0,1039.0,0.0,0.0,0.0,800.0,800.0,1038.0,800.0,1007.0,280.4183333333,801.0,64.0,1,2,4,9,-2893.0
1.0,9,0.0,1.0,77.3333333333,55.6666666667,21.0,1.0,0.0,257.0,2.0,270.3333333333,0.0,3.0,0.0,25,0.0,1037.0,0.0,0.0,0.0,800.0,800.0,1038.0,800.0,1021.6666666667,286.0148958333,801.0,44.3333333333,1,2,4,12,539.3333333333
1.0,7,0.0,1.0,74.3333333333,55.6666666667,20.0,0.6666666667,0.0,260.6666666667,2.0,261.3333333333,8.6666666667,3.6666666667,0.0,25,0.0,1036.0,0.0,0.0,0.0,800.3333333333,800.0,1038.0,800.0,1012.0514065222798,285.7070520833,801.0,46.3333333333,1,2,4,15,65.0
1.0,7,0.0,1.0,80.6666666667,73.6666666667,14.3333333333,1.0,0.0,232.6666666667,2.0,265.6666666667,24.3333333333,3.0,0.0,25,0.0,1037.0,0.0,0.0,0.0,801.3333333333,801.0,1038.0,800.0,1021.3333333333,282.6940520833,800.6666666667,71.6666666667,1,2,4,18,-1317.0
1.0,8,0.0,1.0,89.0,68.0,5.3333333333,1.0,0.0,200.0,2.0,285.0,8.0,3.0,0.0,25,0.0,1038.0,0.0,0.0,0.0,800.0,803.0,1037.6666666667,800.0,1007.0,279.087,800.0,78.6666666667,1,2,4,21,5849.3333333333
1.0,9,0.0,1.0,88.0,69.6666666667,2.0,1.0,0.0,199.0,2.6666666667,318.6666666667,1.3333333333,3.0,0.0,25,0.0,1036.6666666667,0.0,0.0,0.0,800.0,801.3333333333,1037.0,800.0,1006.6666666667,277.6253333333,800.0,78.6666666667,1,3,5,0,7125.3333333333
1.0,8,0.0,1.3333333333,85.0,61.0,6.6666666667,1.0,0.0,197.0,3.0,322.0,0.0,2.0,0.0,25,0.0,1037.0,0.0,0.0,0.0,800.0,801.0,1035.6666666667,800.0,1005.6666666667,276.217,800.0,80.0,1,3,5,3,623.0
0.0,8,0.0,2.0,84.0,60.0,10.6666666667,1.0,0.0,209.3333333333,3.0,305.0,0.0,2.0,0.0,25,0.0,1036.0,0.0,0.0,0.0,800.0,800.0,1035.3333333333,800.0,1005.3333333333,275.319,800.3333333333,79.3333333333,1,3,5,6,-2679.3333333333
1.3333333333,8,0.0,2.0,87.3333333333,66.6666666667,8.6666666667,1.0,0.0,222.0,2.6666666667,314.6666666667,0.0,2.0,0.0,25,0.0,1036.0,0.0,0.0,0.0,800.0,800.0,1036.0,800.0,1005.6666666667,279.9323333333,800.3333333333,69.0,1,3,5,9,-1478.0
2.0,9,0.0,2.0,88.0,68.0,3.3333333333,1.0,0.0,228.3333333333,2.0,306.0,0.0,2.0,0.0,25,0.0,1036.0,0.0,0.0,0.0,800.0,800.0,1036.0,800.0,1005.0,285.243,800.0,51.0,1,3,5,12,2212.6666666667
